sample	genotype
N100.trim.bt2	AC1
N101.trim.bt2	AC2
N102.trim.bt2	AC2
N103.trim.bt2	AC1
N104.trim.bt2	AC2
N105.trim.bt2	AC2
N106.trim.bt2	AC2
N107.trim.bt2	AC1
N108.trim.bt2	AC1
N109.trim.bt2	AC2
N110.trim.bt2	AC2
N111.trim.bt2	AC2
N112.trim.bt2	AC2
N113.trim.bt2	AC2
N114.trim.bt2	AC2
N115.trim.bt2	AC2
N116.trim.bt2	AC1
N117.trim.bt2	AC2
N118.trim.bt2	AC3
N119.trim.bt2	AC3
N120.trim.bt2	AC3
N121.trim.bt2	AC3
N122.trim.bt2	AC3
N123.trim.bt2	AC3
N124.trim.bt2	AC3
N125.trim.bt2	AC3
N126.trim.bt2	AC2
N127.trim.bt2	AC1
N128.trim.bt2	AC2
N129.trim.bt2	AC2
N130.trim.bt2	AC1
N131.trim.bt2	AC3
N132.trim.bt2	AC2
N133.trim.bt2	AC3
N134.trim.bt2	AC2
N135.trim.bt2	AC2
N136.trim.bt2	AC2
N137.trim.bt2	AC2
N138.trim.bt2	AC3
N139.trim.bt2	AC2
N140.trim.bt2	AC3
N141.trim.bt2	AC3
N142.trim.bt2	AC1
N143.trim.bt2	AC3
N99.trim.bt2	AC2
