Tube_ID	Nursery
N99	Cap Cana
N100	Cap Cana
N101	Cap Cana
N102	Cap Cana
N103	Cap Cana
N104	Cap Cana
N105	Cap Cana
N106	Cap Cana
N107	Cap Cana
N108	Cap Cana
N109	Cap Cana
N110	Cap Cana
N111	Cap Cana
N112	Cap Cana
N113	Cap Cana
N114	Cap Cana
N115	Cap Cana
N116	Cap Cana
N117	Cap Cana
N118	Acuario
N119	Acuario
N120	Acuario
N121	Acuario
N122	Acuario
N123	Acuario
N124	Acuario
N125	Acuario
N126	Acuario
N127	Acuario
N128	Acuario
N129	Acuario
N130	Acuario
N131	Acuario
N132	Acuario
N133	Acuario
N134	Acuario
N135	Acuario
N136	Acuario
N137	Acuario
N138	Acuario
N139	Acuario
N140	Acuario
N141	Acuario
N142	Acuario
N143	Acuario
