sample1	sample2	IBS_distance	genotype1	genotype2	comparison
N100.trim.bt2	N101.trim.bt2	0.438211	AC1	AC2	AC1_vs_AC2
N100.trim.bt2	N102.trim.bt2	0.444264	AC1	AC2	AC1_vs_AC2
N101.trim.bt2	N102.trim.bt2	0.175806	AC2	AC2	within_AC2
N100.trim.bt2	N103.trim.bt2	0.214199	AC1	AC1	within_AC1
N101.trim.bt2	N103.trim.bt2	0.415822	AC2	AC1	AC1_vs_AC2
N102.trim.bt2	N103.trim.bt2	0.418793	AC2	AC1	AC1_vs_AC2
N100.trim.bt2	N104.trim.bt2	0.437399	AC1	AC2	AC1_vs_AC2
N101.trim.bt2	N104.trim.bt2	0.174175	AC2	AC2	within_AC2
N102.trim.bt2	N104.trim.bt2	0.174087	AC2	AC2	within_AC2
N103.trim.bt2	N104.trim.bt2	0.415018	AC1	AC2	AC1_vs_AC2
N100.trim.bt2	N105.trim.bt2	0.441284	AC1	AC2	AC1_vs_AC2
N101.trim.bt2	N105.trim.bt2	0.172735	AC2	AC2	within_AC2
N102.trim.bt2	N105.trim.bt2	0.169827	AC2	AC2	within_AC2
N103.trim.bt2	N105.trim.bt2	0.422078	AC1	AC2	AC1_vs_AC2
N104.trim.bt2	N105.trim.bt2	0.170153	AC2	AC2	within_AC2
N100.trim.bt2	N106.trim.bt2	0.435471	AC1	AC2	AC1_vs_AC2
N101.trim.bt2	N106.trim.bt2	0.179177	AC2	AC2	within_AC2
N102.trim.bt2	N106.trim.bt2	0.168345	AC2	AC2	within_AC2
N103.trim.bt2	N106.trim.bt2	0.422547	AC1	AC2	AC1_vs_AC2
N104.trim.bt2	N106.trim.bt2	0.171888	AC2	AC2	within_AC2
N105.trim.bt2	N106.trim.bt2	0.172052	AC2	AC2	within_AC2
N100.trim.bt2	N107.trim.bt2	0.212766	AC1	AC1	within_AC1
N101.trim.bt2	N107.trim.bt2	0.412607	AC2	AC1	AC1_vs_AC2
N102.trim.bt2	N107.trim.bt2	0.428397	AC2	AC1	AC1_vs_AC2
