sample1	sample2	genet1	genet2	comparison	nSites	rab
N100.trim.bt2	N101.trim.bt2	AC1	AC2	AC1-AC2	2460	0.000000
N100.trim.bt2	N102.trim.bt2	AC1	AC2	AC1-AC2	2467	0.000000
N100.trim.bt2	N103.trim.bt2	AC1	AC1	Within AC1	2465	0.998735
N100.trim.bt2	N104.trim.bt2	AC1	AC2	AC1-AC2	2476	0.000000
N100.trim.bt2	N105.trim.bt2	AC1	AC2	AC1-AC2	2461	0.000000
N100.trim.bt2	N106.trim.bt2	AC1	AC2	AC1-AC2	2465	0.000002
N100.trim.bt2	N107.trim.bt2	AC1	AC1	Within AC1	2445	0.999140
N100.trim.bt2	N108.trim.bt2	AC1	AC1	Within AC1	2439	0.999827
N100.trim.bt2	N109.trim.bt2	AC1	AC2	AC1-AC2	2418	0.000000
N100.trim.bt2	N110.trim.bt2	AC1	AC2	AC1-AC2	2438	0.000000
N100.trim.bt2	N111.trim.bt2	AC1	AC2	AC1-AC2	2424	0.000000
N100.trim.bt2	N112.trim.bt2	AC1	AC2	AC1-AC2	2433	0.000000
N100.trim.bt2	N113.trim.bt2	AC1	AC2	AC1-AC2	2445	0.000000
N100.trim.bt2	N114.trim.bt2	AC1	AC2	AC1-AC2	2411	0.000000
N100.trim.bt2	N115.trim.bt2	AC1	AC2	AC1-AC2	2450	0.000000
N100.trim.bt2	N116.trim.bt2	AC1	AC1	Within AC1	2416	0.999516
N100.trim.bt2	N117.trim.bt2	AC1	AC2	AC1-AC2	2449	0.000001
N100.trim.bt2	N118.trim.bt2	AC1	AC3	AC1-AC3	2434	0.000001
N100.trim.bt2	N119.trim.bt2	AC1	AC3	AC1-AC3	2418	0.000000
N100.trim.bt2	N120.trim.bt2	AC1	AC3	AC1-AC3	2440	0.000000
N100.trim.bt2	N121.trim.bt2	AC1	AC3	AC1-AC3	2442	0.000000
N100.trim.bt2	N122.trim.bt2	AC1	AC3	AC1-AC3	2449	0.000000
N100.trim.bt2	N123.trim.bt2	AC1	AC3	AC1-AC3	2430	0.000000
N100.trim.bt2	N124.trim.bt2	AC1	AC3	AC1-AC3	2443	0.000000
N100.trim.bt2	N125.trim.bt2	AC1	AC3	AC1-AC3	2445	0.000000
N100.trim.bt2	N126.trim.bt2	AC1	AC2	AC1-AC2	2441	0.000000
N100.trim.bt2	N127.trim.bt2	AC1	AC1	Within AC1	2425	0.999463
N100.trim.bt2	N128.trim.bt2	AC1	AC2	AC1-AC2	2454	0.000000
N100.trim.bt2	N129.trim.bt2	AC1	AC2	AC1-AC2	2429	0.000000
N100.trim.bt2	N130.trim.bt2	AC1	AC1	Within AC1	2456	1.000000
N100.trim.bt2	N131.trim.bt2	AC1	AC3	AC1-AC3	2441	0.000002
