Tube_ID	Nursery	Genet	SNP_sites_with_coverage	Mean_depth_all_2515_sites
N99	Cap Cana	AC2	2504	97.36
N100	Cap Cana	AC1	2483	102.83
N101	Cap Cana	AC2	2497	94.74
N102	Cap Cana	AC2	2500	85.2
N103	Cap Cana	AC1	2487	88.21
N104	Cap Cana	AC2	2509	95.79
N105	Cap Cana	AC2	2494	114.07
N106	Cap Cana	AC2	2499	100.67
N107	Cap Cana	AC1	2470	78.77
N108	Cap Cana	AC1	2457	83.93
N109	Cap Cana	AC2	2449	62.9
N110	Cap Cana	AC2	2469	57.86
N111	Cap Cana	AC2	2454	62.48
N112	Cap Cana	AC2	2467	66.36
N113	Cap Cana	AC2	2480	58.54
N114	Cap Cana	AC2	2441	66.12
N115	Cap Cana	AC2	2482	78.87
N116	Cap Cana	AC1	2429	65.49
N117	Cap Cana	AC2	2484	86.48
N118	Acuario	AC3	2471	76.28
N119	Acuario	AC3	2452	67.38
N120	Acuario	AC3	2475	77.02
N121	Acuario	AC3	2478	79.65
N122	Acuario	AC3	2487	82.27
N123	Acuario	AC3	2469	79.15
N124	Acuario	AC3	2483	71.37
N125	Acuario	AC3	2483	78.73
N126	Acuario	AC2	2475	73.61
N127	Acuario	AC1	2444	71.63
N128	Acuario	AC2	2486	81.11
N129	Acuario	AC2	2465	75.36
N130	Acuario	AC1	2472	82.75
N131	Acuario	AC3	2478	72.07
N132	Acuario	AC2	2476	74.3
N133	Acuario	AC3	2472	65.51
N134	Acuario	AC2	2462	61.09
N135	Acuario	AC2	2454	62.36
N136	Acuario	AC2	2448	61.59
N137	Acuario	AC2	2471	65.16
N138	Acuario	AC3	2458	65.01
N139	Acuario	AC2	2472	70.17
N140	Acuario	AC3	2465	65.18
N141	Acuario	AC3	2437	70.15
N142	Acuario	AC1	2427	60.61
N143	Acuario	AC3	2454	61.36
